Session,Visits,Views,Country,City,Browser,OS,Device,Last_seen
1,1,1,India,Bengaluru,Chrome,Windows 10/11,Laptop,"November 18th 2024 at 5:37:45 AM"
1,1,,Ghana,Accra,Chrome,Windows 10/11,Laptop,"November 18th 2024 at 8:48:32 AM"
2,2,2,"United States",Chicago,Chrome,Android,Mobile,"November 18th 2024 at 9:44:42 AM"
1,1,1,"United States",Fremont,Chrome,macOS,Laptop,"November 18th 2024 at 11:14:02 PM"
3,3,4,"United States",Chicago,Chrome,Android,Mobile,"November 18th 2024 at 8:38:34 PM"
1,1,4,"United States","New York",Safari,macOS,Desktop,"November 18th 2024 at 4:56:17 PM"
1,1,3,Germany,Berlin,Chrome,macOS,Laptop,"November 18th 2024 at 1:35:56 PM"
1,1,4,Ghana,Accra,Chrome,Windows 10/11,Laptop,"November 17th 2024 at 11:11:36 PM"
1,1,1,"United States","Tinley Park",iOS,iOS,Mobile,"November 17th 2024 at 5:34:35 PM"
2,2,3,Ghana,Accra,Chrome,Windows 10/11,Laptop,"November 17th 2024 at 4:29:19 AM"
1,1,2,"United States",Chicago,iOS,iOS,Mobile,"November 17th 2024 at 1:45:10 AM"
1,1,2,Pakistan,Lahore,Chrome,Android,Mobile,"November 16th 2024 at 6:42:59 PM"
1,1,1,Ghana,Accra,Chrome,Windows 10/11,Laptop,"November 16th 2024 at 10:44:50 AM"
3,3,3,"United States",Washington,Chrome,Windows 10/11,Laptop,"November 17th 2024 at 3:15:58 AM"
1,1,1,"United States",Nashville,Chrome,macOS,Laptop,"November 17th 2024 at 3:06:27 PM"
1,1,1,"United States",Chicago,Facebook,iOS,Mobile,"November 17th 2024 at 3:13:02 PM"
1,1,1,Ethiopia,"Addis Ababa",Samsung,Android,Mobile,"November 17th 2024 at 4:54:05 PM"
5,5,5,India,Pune,Chrome,Windows 10/11,Laptop,"November 17th 2024 at 5:16:38 PM"
3,3,3,"United States",Chicago,Chrome,Android,Mobile,"November 17th 2024 at 6:03:12 PM"
4,4,4,"United Kingdom",Manchester,Chrome,Windows 10/11,Desktop,"November 17th 2024 at 6:35:45 PM"
1,1,1,"United States","Kansas City",iOS,iOS,Mobile,"November 17th 2024 at 7:12:23 PM"
3,3,3,"United States","Los Angeles",Chrome,Android,Mobile,"November 17th 2024 at 7:45:56 PM"
1,1,1,Spain,"Alcorta de la Sal",Chrome,Windows 10/11,Laptop,"November 17th 2024 at 8:23:14 PM"
2,2,2,"United States",Indianapolis,Chrome,Windows 10/11,Laptop,"November 17th 2024 at 9:15:47 PM"
1,1,1,India,Hyderabad,Edge,Chrome,Desktop,"November 17th 2024 at 10:05:29 PM"
1,1,1,Australia,Sydney,Chrome,Windows 10/11,Desktop,"November 17th 2024 at 10:48:56 PM"
12,12,12,China,Accra,Chrome,Windows 10/11,Laptop,"November 17th 2024 at 11:32:17 PM"
1,1,1,"United States",Stockton,Chrome,Windows 10/11,Laptop,"November 18th 2024 at 12:22:45 AM"
1,1,1,"United States",Stockton,Chrome,Windows 10/11,Laptop,"December 3rd 2024 at 11:15:23 AM"
2,2,2,Ghana,Accra,Chrome,Android,Mobile,"December 3rd 2024 at 2:45:56 PM"
3,3,3,Ghana,Accra,Chrome,Windows 10/11,Laptop,"December 3rd 2024 at 4:12:34 PM"
1,1,1,Canada,Surrey,Chrome,Windows 10/11,Desktop,"December 3rd 2024 at 6:35:45 PM"
11,11,11,"United States",Chicago,Chrome,Android,Mobile,"December 3rd 2024 at 7:58:12 PM"
1,1,1,"United States",Chicago,Chrome,Android,Tablet,"December 3rd 2024 at 9:23:45 PM"
2,2,2,"United States",Cody,Samsung,Android,Mobile,"December 3rd 2024 at 10:45:23 PM"
1,1,1,"United States",Hammond,iOS,iOS,Mobile,"December 3rd 2024 at 11:15:34 PM"
1,1,1,Argentina,"Buenos Aires",Chrome,Windows 10/11,Laptop,"December 3rd 2024 at 11:58:22 PM"
1,1,1,Argentina,"Buenos Aires",Chrome,macOS,Laptop,"December 4th 2024 at 12:35:12 AM"
4,4,4,Serbia,Navozad,Chrome,Android,Mobile,"December 4th 2024 at 1:12:45 AM"
3,3,3,"United States",Chicago,Chrome,Android,Mobile,"December 4th 2024 at 2:45:23 AM"
1,1,1,"United States","Des Moines",Chrome,Windows 10/11,Laptop,"December 4th 2024 at 3:15:45 AM"
12,12,12,"United States",Tulsa,Firefox,Windows 10/11,Desktop,"December 4th 2024 at 4:25:12 AM"
2,2,2,"United States","San Antonio",Facebook,iOS,Mobile,"December 4th 2024 at 5:45:34 AM"
